导弹高度,导弹距离,导弹速度,导弹过载,导弹经度,导弹纬度,弹目距离,目标经度,目标纬度,目标高度,目标速度
805.0178,825.2332,419.0376,0,2.0251,0.2887,198105.7311,2.0424,0.3148,24918.8019,680
822.8255,844.3773,424.2578,0,2.0251,0.2887,198068.8424,2.0424,0.3148,24918.1158,680
840.8325,863.7629,429.4862,0,2.0251,0.2887,198031.8022,2.0424,0.3148,24917.4299,680
859.0433,883.3928,434.7223,0,2.0251,0.2887,197994.6162,2.0424,0.3148,24916.744,680
877.4623,903.2696,439.9652,0,2.0251,0.2887,197957.2902,2.0424,0.3148,24916.0583,680
896.094,923.3959,445.2145,0,2.0251,0.2887,197919.8301,2.0423,0.3147,24915.3727,680
914.9428,943.7743,450.4682,0,2.0251,0.2887,197882.2417,2.0423,0.3147,24914.6872,680
934.0133,964.4071,455.7256,0,2.0251,0.2887,197844.5312,2.0423,0.3147,24914.0019,680
953.3098,985.2963,460.9844,0,2.0251,0.2887,197806.7043,2.0423,0.3147,24913.3166,680
972.8365,1006.444,466.2422,0,2.0251,0.2887,197768.7672,2.0423,0.3147,24912.6315,680
992.5974,1027.8519,471.4985,0,2.0251,0.2887,197730.7257,2.0423,0.3147,24911.9465,680
1012.5965,1049.5214,476.7524,0,2.0251,0.2887,197692.5857,2.0423,0.3147,24911.2616,680
1032.8374,1071.4539,482.0033,0,2.0251,0.2887,197654.3526,2.0423,0.3147,24910.5768,680
1053.3237,1093.6505,487.2513,0,2.0251,0.2887,197616.0321,2.0423,0.3147,24909.2075,680
1074.0586,1116.1122,492.496,0,2.0251,0.2887,197577.6294,2.0423,0.3147,24909.2075,680
1095.0451,1138.8398,497.7371,0,2.0251,0.2887,197539.1495,2.0423,0.3147,24908.5231,680
1116.286,1161.8338,502.9744,0,2.0251,0.2887,197500.597,2.0423,0.3147,24907.8388,680
1137.7838,1185.0946,508.2101,0,2.0251,0.2887,197461.9762,2.0423,0.3147,24907.1546,680
1159.5408,1208.6226,513.4489,0,2.0251,0.2887,197423.2912,2.0423,0.3147,24906.4705,680
1181.5592,1232.4181,518.6901,0,2.0251,0.2887,197384.5452,2.0423,0.3147,24905.7865,680
1203.8406,1256.4813,523.9334,0,2.0251,0.2887,197345.7414,2.0423,0.3147,24905.1026,680
1226.3865,1280.812,529.1773,0,2.0251,0.2887,197306.8822,2.0423,0.3147,24904.4189,680
1249.1977,1305.4099,534.4217,0,2.0251,0.2887,197267.9698,2.0423,0.3147,24903.7353,680
1272.275,1330.2746,539.6659,0,2.0251,0.2887,197229.0058,2.0423,0.3147,24903.0518,680
1295.6185,1355.4054,544.9096,0,2.0251,0.2887,197189.9911,2.0423,0.3147,24902.3684,680
1319.228,1380.8015,550.1523,0,2.0251,0.2887,197150.9263,2.0423,0.3147,24901.6851,680
1343.1029,1406.462,555.3917,0,2.0251,0.2887,197111.8111,2.0423,0.3147,24901.0019,680
1367.2421,1432.3856,560.6276,0,2.0251,0.2887,197072.645,2.0423,0.3147,24900.3189,680
1391.6443,1458.5711,565.8595,0,2.0251,0.2887,197033.4265,2.0423,0.3147,24899.6359,680
1416.3077,1485.0171,571.0872,0,2.0251,0.2887,196994.1536,2.0423,0.3147,24898.9531,680
1441.23,1511.7221,576.3101,0,2.0251,0.2887,196954.8237,2.0423,0.3147,24898.2704,680
1466.4087,1538.6845,581.5253,0,2.0251,0.2887,196915.4335,2.0423,0.3147,24897.5878,680
1491.8407,1565.9024,586.7327,0,2.0251,0.2887,196875.979,2.0423,0.3146,24896.9054,680
