,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
197,第二期下,6720670861599717098,,8,今天上午,1,7
198,第二期下,6720672546212214652,,6,没有弹幕我一会儿再来看,0,7
199,第二期下,6720702646330006940,Simoneel,1,来啦，来啦！！！！,3,13
200,第二期下,6720847000453489818,,0,演技都是不断学习和经验慢慢积累的,3,33
201,第二期下,6720901775168649393,,5,爆米花 : emmmm,4,11
202,第二期下,6720926163948522868,猫薄荷,5,好神奇的是，他们知道谁演技好，但也不捧,2,31
203,第二期下,6720943778607640006,,0,哈哈哈哈,1,4
204,第二期下,6720944914613904903,⭐ Zz ⭐,4,胡杏儿演技太好了 冠军 可能会让给青年演员机会,2,42
205,第二期下,6720990343644827478,,0,唯品会真是无处不在，无孔不入,4,13
206,第二期下,6721028072956690565,,0, 好看,3,5
207,第二期下,6721060917939252366,,0, 还有这种操作，666,4,5
208,第二期下,6721294821250023426,,0,唐一菲镜头呢,4,6
209,第二期下,6721098319973778345,林,0,黄奕超过不了胡杏儿，肯定的,3,5
210,第二期下,6721087313105327677,艾玛呀,0, 乖宝宝,4,1
211,第二期下,6720663715881087492,Queen,1,爆米花 : 丁程鑫,37,19
212,第二期下,6720677447676922474,Bastard. Don＇t Overdo it,0, 来了来了,37,5
213,第二期下,6720691402944486072,,0,爽,37,1
214,第二期下,6720692672437351682,,0, 还沉浸在胡杏儿老师的表演里,37,30
215,第二期下,6720707951003712188,旺旺雪饼,1,胡杏儿棒棒的，以后多拍戏呀,38,39
216,第二期下,6720719297313964528,倚栏听风,6,爆米花 : l来看啦,39,13
217,第二期下,6720877031506552071,,0,爽，鹅厂，厉害,38,2
218,第二期下,6720898246844281725,大姚,2,去年郭导选人，虽也有新人，但是是可以的，这期全流量,36,53
219,第二期下,6720912542900100068,,0, 时长感人啊,39,5
220,第二期下,6720931457579555565,春风宛若(≧3≦),0, 一期上的演员太少了,37,2
221,第二期下,6720934762086860540,,0,我太爱了这节目，时间长嘻嘻，以为要等到下星期,39,1
222,第二期下,6720955928105438378,楠憨憨,0, 小四我又来了。 小四我又来了。,37,0
223,第二期下,6720959596966641556,,0,上下级一起看，真是太爽了。,38,1
224,第二期下,6720961686367567305,,3,上完课又来追剧，太爱这个节目了,35,12
225,第二期下,6720972782127488435,PatPatPat__Chan,0,哇这时长爱了,38,1
226,第二期下,6720972767924614952,PatPatPat__Chan,0,竟然还有下！！太惊喜了！还以为要等下周了……,35,7
227,第二期下,6720983542424697951,,0, 胡杏儿演的，把老子看哭了T﹏T,36,22
228,第二期下,6721064000646479166,sophia﹃,0, 目前胡杏儿老师最佳,35,3
229,第二期下,6721293983949498257,,0, 卡不够用了,37,1
230,第二期下,6721302158836701204,,0, 九江,39,0
231,第二期下,6721271475660323725,,0,直接跳下来的 哈哈哈,36,0
232,第二期下,6721259870408082863,AA静宝之家,0,你们看看人家胡杏儿现在跟刚才对比反差多大,39,3
233,第二期下,6721350597858590061,city,0, 期待黄奕,38,0
234,第二期下,6721096115850560568,,0,我爱腾讯直接有下集太香了,35,2
235,第二期下,6721362233981941098,火辣辣,0, 看黄奕来了,38,1
236,第二期下,6721674184922166242,,0, 来了,38,0
237,第二期下,6721456988360262801,iYX,0,  期待黄奕,35,3
238,第二期下,6721424005870583488,CJQ,0,居然有下集，我以为没有了太开心了,35,0
239,第二期下,6721084237531303655,ʚ 御姐酱ɞ,0,真好，看完上，就有下，爱辽,39,0
240,第二期下,6721079273039528004,pp,0,说实话我是来看辣目洋子的,37,0
241,第二期下,6721775679827377794,,0, 签到,38,0
242,第二期下,6720983826551045644,,0,这一期就希望郭敬明少说话,35,1
243,第二期下,6720945018874903585,,0, 可以接上看真香,35,0
244,第二期下,6720879604505523966,,0, 惊喜啊，还以为下集要下个周了，开心,39,0
245,第二期下,6720745350883688918,🌹 囍珍🌹 ,0, 尔导是达摩祖师,36,0
246,第二期下,6720741980381574581,Demain       🍸,0,期待黄奕,39,0
247,第二期下,6720708476608721355,,0, 看完胡杏儿演的估计下面的人压力非常大,36,1
248,第二期下,6720705897929654194,潇潇,0,这时长真是综艺节目之光，和乐夏有的一拼,36,0
249,第二期下,6722474959543144936,,0, 胡杏儿，真演员。。。有带入感,36,0
250,第二期下,6720704739115773058,,6, 还沉浸在胡杏儿老师的表演里,43,30
251,第二期下,6720715239480299590,,0,这时长绝对好评,43,13
252,第二期下,6720730826351509491,小太阳,0,不是吧不是吧有下集耶，真特么香,43,4
253,第二期下,6720927594214574397,,6,胡杏儿棒棒的，以后多拍戏呀,44,15
254,第二期下,6720953774326091859,,3,杏儿杏儿,41,4
255,第二期下,6720954306654307545,,6,我太爱了这节目，时间长嘻嘻，以为要等到下星期,40,6
256,第二期下,6720957117983343789,,0,太喜欢这个节目的时长了,44,11
257,第二期下,6720958992463937826,不过，而已,1,辣目洋子挺棒的,42,7
258,第二期下,6720972808182538996,PatPatPat__Chan,0,爱了爱了 上下两期 时长给力！,44,4
259,第二期下,6720980270905325598,,0,哇   居然下集也有   太香了,43,0
260,第二期下,6720980408801442018,欣苒向往🐰,0,竟然还有下！！太惊喜了！还以为要等下周了……,42,5
261,第二期下,6720985786763903263,钢琴上的芭蕾,0,✓胡杏儿路转粉。,42,9
262,第二期下,6721018915192337430,钦字辈,0, 香港演员就是龙套跑的多所以才能沉淀,41,7
263,第二期下,6721034912512066880,,0, 以前的香港电影真的很厉害，演员也很棒,40,18
264,第二期下,6721080923913701180,,0, TVB的道具出了名的简陋，全靠演技,42,7
265,第二期下,6721266384715845369,小波,0, 惊喜啊，还以为下集要下个周了，开心,41,6
266,第二期下,6721305349618941884,,0,胡杏儿演技派,41,1
267,第二期下,6721327349355445929,黄霆新,0, 目前胡杏儿老师最佳,40,8
268,第二期下,6721332512203931281,卯卯哒,0,以前觉得杏儿不漂亮，现在真是被她魅力圈粉儿,42,0
269,第二期下,6721251099346666982,,0, 终于可以看了,41,4
270,第二期下,6721099279109730475,,0,期待黄奕,42,0
271,第二期下,6721362424060420132,火辣辣,0,  黄奕黄奕黄奕,44,2
272,第二期下,6721371070932655914,,0, 来看赵薇来了,44,0
273,第二期下,6721387912521858631,,0, 我要看知名主播楚楚baby！,41,2
274,第二期下,6721405739580538743,,1, 胡杏儿演的，把老子看哭了T﹏T,42,0
275,第二期下,6721427935648562097,,0,胡杏儿普通话好评,41,2
276,第二期下,6721442730149952279,The Owl,0,时不时的在感动一下自己，觉的自己进化的高级一点,40,1
277,第二期下,6721592946497618364,,0, 济南站,44,0
278,第二期下,6721602097398706806,しovの詩鸢戀,0,香港影视圈竞争太激烈了，一个小配角都是浑身是戏,42,1
279,第二期下,6721634807194336141,,0, 时长感人啊,41,0
280,第二期下,6721438157075149076,,0, 打卡,44,0
